Record_ID,Bus_ID,Bus_Number,Date,City,Route_Number,Route_Name,Source_Stop,Destination_Stop,Departure_Time,Arrival_Time,Distance_km,Bus_Type,Total_Seats,Passengers,Occupancy_Percentage,Ticket_Price,Revenue,Fuel_Consumption_Liters,Fuel_Cost,Delay_Minutes,Weather,Traffic_Level,Trip_Status,Customer_Rating
1345,BUS11345,RJ30C2704,2025-10-14,Mumbai,R219,Powai-Churchgate,Powai Stand,Churchgate Stand,18:55,22:08,53.1,Electric,42,43.0,102.38,24.52,1054.36,2.74,32.88,0.0,Sunny,High,On Time,4.8
1586,BUS11586,DL34B6508,2025-08-30,Pune,B199,Wagholi-Katraj,Wagholi Stop,Katraj Junction,19:40,23:46,97.9,AC,52,12.0,23.08,34.49,413.88,29.05,2759.75,0.0,Cloudy,Medium,On Time,4.8
1931,BUS11931,TS14B9317,2024-09-17,Bengaluru,L54,Jayanagar-KR Puram,Jayanagar Stand,KR Puram Junction,08:00,09:32,14.8,Mini Bus,25,22.0,88.0,10.29,226.38,3.55,337.25,29.0,Rainy,High,Delayed,2.8
293,BUS10293,DL71B5223,2024-06-03,Delhi,B253,Rohini-Connaught Place,Rohini Terminal,Connaught Place Stop,20:10,20:55,10.7,Non-AC,46,46.0,100.0,18.29,841.34,3.38,321.1,0.0,Rainy,High,On Time,
372,BUS10372,MH85B9605,2025-06-09,Kolkata,L125,Jadavpur-Barasat,Jadavpur Junction,Barasat Stop,18:00,22:56,112.0,Mini Bus,29,4.0,13.79,25.88,103.52,24.05,2284.75,0.0,Cloudy,Medium,On Time,4.7
1541,BUS11541,WB20A4009,2025-12-13,Lucknow,B218,Chinhat-Aminabad,Chinhat Stand,Aminabad Terminal,11:10,12:46,36.1,AC,41,46.0,112.2,36.11,1661.06,12.58,1195.1,15.0,Foggy,Medium,Delayed,2.8
1317,BUS11317,KA86A3348,2025-08-14,Jaipur,L45,Vidhyadhar Nagar-Sitapura,Vidhyadhar Nagar Junction,Sitapura Stand,19:05,20:33,57.5,Non-AC,44,35.0,79.55,17.52,613.2,16.35,1553.25,10.0,Rainy,Low,On Time,3.2
1650,BUS11650,TN62C5153,2024-12-20,Kolkata,L82,Jadavpur-Barasat,Jadavpur Junction,Barasat Stand,15:00,18:30,50.0,AC,44,50.0,113.64,26.26,1313.0,18.81,1786.95,29.0,Rainy,High,Delayed,2.7
787,BUS10787,KA37B7759,2025-12-03,Ahmedabad,R259,Maninagar-Gota,Maninagar Junction,Gota Stand,05:50,08:18,29.7,Mini Bus,34,39.0,114.71,18.89,736.71,6.77,643.15,10.0,Foggy,High,On Time,4.8
1907,BUS11907,KA94A1163,2025-08-09,Chennai,L50,Porur-Egmore,Porur Junction,Egmore Stop,06:40,07:00,10.6,Electric,35,38.0,108.57,12.02,456.76,0.78,9.36,0.0,Sunny,Medium,On Time,4.9
1386,BUS11386,GJ25B9183,2025-11-24,Kolkata,L284,Behala-Sealdah,Behala Terminal,Sealdah Stand,07:25,12:54,90.0,Non-AC,44,37.0,84.09,27.0,999.0,30.88,2933.6,28.0,Rainy,High,Delayed,2.9
1782,BUS11782,TS49C3467,2024-07-05,Chennai,R100,Tambaram-Parrys,Tambaram Terminal,Parrys Stand,15:15,21:40,95.2,Non-AC,48,35.0,72.92,28.05,981.75,28.48,2705.6,7.0,Cloudy,High,On Time,4.1
154,BUS10154,MH20A1713,2024-04-26,Bengaluru,L296,Jayanagar-KR Puram,Jayanagar Junction,KR Puram Terminal,11:40,14:37,49.3,Mini Bus,34,1.0,2.94,19.76,19.76,9.54,906.3,18.0,Foggy,High,Delayed,3.6
1021,BUS11021,TS20A4031,2024-09-25,Hyderabad,B250,Kukatpally-Secunderabad,Kukatpally Junction,Secunderabad Stop,19:15,00:02,85.7,AC,42,0.0,0.0,32.39,0.0,25.69,2440.55,0.0,Sunny,High,On Time,
1008,BUS11008,KA75B3518,2025-03-02,Chennai,R242,Tambaram-Parrys,Tambaram Junction,Parrys Stand,18:40,19:52,28.7,Electric,38,41.0,107.89,24.11,988.51,2.46,29.52,13.0,Foggy,Medium,Delayed,3.4
659,BUS10659,DL81B8243,2025-01-06,Hyderabad,B114,Gachibowli-Koti,Gachibowli Stop,Koti Stop,06:10,07:35,39.9,Non-AC,51,3.0,5.88,15.72,47.16,14.64,1390.8,24.0,Cloudy,Low,Delayed,3.7
1210,BUS11210,RJ24A5867,2024-10-11,Kolkata,R123,Salt Lake-Howrah,Salt Lake Junction,Howrah Junction,11:30,15:44,106.3,Mini Bus,29,24.0,82.76,29.32,703.68,29.08,2762.6,2.0,,Medium,On Time,3.7
